Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2008,,,,,,,,,,,,
二零零八年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Chai Wan West
柴灣西",0.0%,0.0%,0.0%,5.7%,7.3%,23.6%,7.8%,9.6%,5.4%,1.9%,0.0%,0.0%
"Wan Chai North
灣仔北",0.0%,0.0%,0.0%,0.0%,0.0%,6.0%,3.8%,3.8%,1.9%,3.7%,1.9%,0.0%
"Happy Valley
跑馬地",0.0%,0.0%,0.0%,0.0%,1.8%,18.2%,9.3%,7.4%,7.3%,12.0%,1.8%,0.0%
"Central, Sheung Wan and Sai Ying Pun
中環, 上環及西營盤",0.0%,0.0%,0.0%,1.9%,7.9%,10.9%,7.4%,5.7%,13.0%,9.4%,3.8%,0.0%
"Sai Wan
西環",0.0%,0.0%,0.0%,0.0%,9.3%,5.9%,3.8%,13.0%,13.2%,3.8%,5.7%,0.0%
"North Point
北角",0.0%,0.0%,0.0%,0.0%,0.0%,15.1%,18.9%,11.8%,6.1%,0.0%,0.0%,0.0%
"Aberdeen and Ap Lei Chau
香港仔及鴨脷洲",0.0%,0.0%,0.0%,5.5%,7.3%,15.4%,11.5%,7.7%,7.8%,1.9%,1.9%,0.0%
"Pokfulam
薄扶林",0.0%,0.0%,0.0%,3.6%,9.1%,3.6%,16.4%,10.9%,7.4%,3.6%,0.0%,0.0%
"Cheung Chau
長洲",0.0%,0.0%,0.0%,2.8%,11.1%,8.3%,8.3%,2.9%,5.7%,2.9%,2.9%,0.0%
"Tung Chung
東涌",0.0%,0.0%,0.0%,0.0%,11.1%,2.9%,11.1%,8.6%,29.4%,5.7%,0.0%,0.0%
"Tsim Sha Tsui
尖沙咀",0.0%,0.0%,0.0%,0.0%,15.5%,19.0%,6.9%,13.8%,5.3%,14.3%,0.0%,0.0%
"Mong Kok
旺角",0.0%,0.0%,0.0%,0.0%,1.8%,7.4%,3.6%,5.6%,1.8/%,12.5%,3.5%,0.0%
"Lai Chi Kok
荔枝角",0.0%,0.0%,0.0%,3.7%,5.6%,9.4%,7.4%,7.7%,3.8%,5.5%,0.0%,0.0%
"Sham Shui Po East
深水埗東",0.0%,0.0%,0.0%,9.1%,14.5%,26.9%,30.8%,15.7%,5.7%,5.6%,0.0%,0.0%
"Cheung Sha Wan
長沙灣",0.0%,0.0%,0.0%,0.0%,5.3%,16.1%,10.7%,12.7%,10.5%,8.8%,8.9%,0.0%
"Kowloon City North
九龍城北",0.0%,0.0%,0.0%,0.0%,1.9%,7.5%,7.8%,3.9%,11.5%,5.7%,6.0%,0.0%
"Ho Man Tin
何文田",0.0%,0.0%,0.0%,1.8%,12.7%,3.9%,27.3%,9.3%,0.0%,5.5%,3.6%,0.0%
"Wong Tai Sin Central
黃大仙中",0.0%,0.0%,0.0%,5.6%,13.7%,20.0%,24.6%,13.3%,17.7%,6.5%,3.2%,1.6%
"Diamond Hill
鑽石山",0.0%,0.0%,0.0%,0.0%,28.8%,21.6%,9.6%,13.7%,11.1%,5.7%,0.0%,0.0%
"Kwun Tong Central
觀塘中",0.0%,0.0%,1.7%,5.1%,15.8%,16.1%,20.7%,12.7%,15.8%,12.3%,0.0%,0.0%
"Lam Tin
藍田",0.0%,0.0%,0.0%,3.7%,9.1%,24.5%,18.2%,29.4%,22.2%,7.4%,5.6%,0.0%
"Tseung Kwan O
將軍澳",0.0%,0.0%,0.0%,6.7%,18.3%,8.3%,13.8%,13.6%,1.8%,10.3%,1.7%,0.0%
"Ma On Shan
馬鞍山",0.0%,0.0%,0.0%,0.0%,7.3%,14.8%,20.8%,9.4%,13.2%,12.7%,0.0%,0.0%
"Lek Yuen
瀝源",0.0%,0.0%,0.0%,0.0%,18.5%,16.7%,25.5%,7.3%,3.6%,11.1%,0.0%,0.0%
"Tai Wai
大圍",0.0%,0.0%,0.0%,5.8%,19.6%,19.6%,19.2%,25.9%,20.8%,18.2%,3.6%,0.0%
"Tai Po
大埔",0.0%,0.0%,1.8%,3.6%,18.9%,31.5%,13.2%,5.5%,9.3%,5.5%,0.0%,0.0%
"Fanling
粉嶺",0.0%,0.0%,0.0%,5.6%,13.0%,13.7%,1.9%,1.9%,9.1%,7.3%,1.9%,0.0%
"Sheung Shui
上水",0.0%,0.0%,0.0%,3.8%,23.6%,18.2%,3.6%,14.5%,3.6%,3.6%,5.5%,0.0%
"Tin Shui Wai
天水圍",0.0%,0.0%,1.8%,3.6%,10.7%,5.5%,29.1%,24.1%,7.4%,5.5%,0.0%,0.0%
"Yuen Kong
元崗",0.0%,0.0%,0.0%,8.0%,37.5%,16.7%,8.0%,16.0%,8.0%,4.2%,4.0%,0.0%
"Yuen Long Town
元朗市中心",0.0%,0.0%,0.0%,0.0%,7.7%,5.7%,9.4%,17.0%,5.7%,9.3%,0.0%,0.0%
"Tuen Mun (S)
屯門南",0.0%,0.0%,0.0%,0.0%,9.1%,7.3%,7.5%,11.1%,9.1%,9.1%,1.9%,0.0%
"Tuen Mun (N)
屯門北",0.0%,0.0%,0.0%,3.4%,18.6%,15.3%,6.9%,13.6%,16.9%,5.4%,0.0%,0.0%
"Tsuen Wan Town
荃灣市中心",0.0%,0.0%,0.0%,1.7%,16.7%,18.3%,5.1%,11.9%,5.1%,3.4%,0.0%,0.0%
"Ma Wan
馬灣",0.0%,0.0%,0.0%,8.7%,8.7%,8.3%,4.2%,4.2%,4.0%,0.0%,0.0%,0.0%
"Kwai Chung
葵涌",0.0%,0.0%,0.0%,3.8%,15.1%,27.8%,22.6%,19.6%,2.7%,12.0%,0.0%,0.0%
"Lai King
荔景",0.0%,1.8%,0.0%,5.6%,15.1%,3.7%,14.5%,20.4%,18.2%,5.5%,0.0%,0.0%
"Tsing Yi
青衣",0.0%,0.0%,0.0%,5.5%,13.0%,15.8%,16.1%,5.4%,17.5%,10.7%,5.3%,0.0%
"Monthly Ovitrap Index (MOI)
每月平均誘蚊產卵器指數",0.0%,0.1%,0.2%,2.9%,11.8%,14.2%,13.1%,11.7%,9.8%,7.3%,1.9%,0.1%

Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2009,,,,,,,,,,,,
二零零九年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Chai Wan West
柴灣西",0.0%,0.0%,0.0%,0.0%,7.0%,15.4%,25.9%,11.8%,12.0%,7.4%,0.0%,0.0%
"Wan Chai North
灣仔北",0.0%,1.8%,0.0%,0.0%,7.4%,9.1%,5.5%,3.7%,3.8%,3.7%,3.7%,0.0%
"Happy Valley
跑馬地",0.0%,0.0%,0.0%,0.0%,5.5%,9.1%,7.5%,10.9%,7.3%,3.6%,7.4%,0.0%
"Central, Sheung Wan and Sai Ying Pun
中環, 上環及西營盤",0.0%,0.0%,0.0%,4.0%,7.7%,17.3%,18.9%,16.7%,5.6%,3.7%,1.9%,0.0%
"Sai Wan
西環",0.0%,0.0%,0.0%,0.0%,5.7%,25.0%,13.7%,7.3%,5.8%,1.9%,3.8%,0.0%
"North Point
北角",0.0%,0.0%,0.0%,1.9%,5.9%,14.0%,6.0%,3.9%,5.7%,1.9%,0.0%,0.0%
"Aberdeen and Ap Lei Chau
香港仔及鴨脷洲",0.0%,0.0%,0.0%,1.9%,0.0%,18.5%,12.7%,18.2%,7.3%,5.5%,0.0%,0.0%
"Pokfulam
薄扶林",0.0%,0.0%,0.0%,0.0%,5.5%,16.4%,7.3%,12.7%,1.8%,3.6%,0.0%,0.0%
"Cheung Chau
長洲",0.0%,0.0%,0.0%,0.0%,13.9%,30.6%,5.6%,19.4%,5.9%,0.0%,0.0%,0.0%
"Tung Chung
東涌",0.0%,0.0%,0.0%,0.0%,5.6%,19.4%,16.7%,25.0%,5.6%,8.6%,2.8%,0.0%
"Tsim Sha Tsui
尖沙咀",0.0%,0.0%,0.0%,0.0%,6.9%,8.8%,14.3%,7.0%,7.0%,12.3%,12.3%,0.0%
"Mong Kok
旺角",0.0%,0.0%,0.0%,0.0%,6.9%,3.6%,7.1%,5.2%,3.5%,5.3%,0.0%,0.0%
"Lai Chi Kok
荔枝角",0.0%,0.0%,1.9%,1.9%,7.5%,9.1%,7.4%,10.9%,1.9%,1.8%,0.0%,0.0%
"Sham Shui Po East
深水埗東",0.0%,0.0%,3.8%,3.8%,14.3%,19.6%,18.5%,18.2%,5.6%,5.7%,0.0%,0.0%
"Cheung Sha Wan
長沙灣",0.0%,0.0%,0.0%,0.0%,7.4%,15.5%,15.1%,19.0%,13.8%,14.5%,3.7%,0.0%
"Kowloon City North
九龍城北",0.0%,0.0%,0.0%,0.0%,7.4%,11.1%,22.2%,12.7%,12.7%,10.9%,1.8%,0.0%
"Ho Man Tin
何文田",0.0%,0.0%,1.9%,1.9%,7.7%,38.0%,18.2%,15.1%,7.5%,3.8%,0.0%,0.0%
"Wong Tai Sin Central
黃大仙中",0.0%,3.3%,0.0%,4.8%,26.2%,35.0%,23.8%,25.4%,19.7%,11.1%,0.0%,0.0%
"Diamond Hill
鑽石山",0.0%,0.0%,0.0%,3.8%,14.8%,28.3%,17.3%,7.8%,7.5%,11.3%,0.0%,0.0%
"Kwun Tong Central
觀塘中",0.0%,0.0%,0.0%,7.0%,10.3%,48.3%,23.7%,24.1%,15.3%,10.2%,0.0%,0.0%
"Lam Tin
藍田",0.0%,0.0%,0.0%,12.7%,18.2%,30.9%,18.2%,7.4%,5.6%,1.9%,0.0%,0.0%
"Tseung Kwan O
將軍澳",0.0%,0.0%,0.0%,1.8%,7.3%,11.9%,3.3%,15.0%,12.1%,6.8%,3.3%,0.0%
"Ma On Shan
馬鞍山",0.0%,0.0%,0.0%,7.3%,7.3%,27.3%,9.3%,25.5%,12.7%,9.1%,0.0%,0.0%
"Lek Yuen
瀝源",0.0%,0.0%,0.0%,1.9%,5.5%,25.5%,12.7%,12.7%,9.1%,9.1%,0.0%,0.0%
"Tai Wai
大圍",0.0%,0.0%,0.0%,12.7%,7.4%,38.5%,13.5%,13.0%,13.0%,3.7%,0.0%,0.0%
"Tai Po
大埔",0.0%,0.0%,0.0%,1.9%,13.5%,18.9%,19.2%,13.2%,5.6%,1.9%,3.7%,0.0%
"Fanling
粉嶺",0.0%,0.0%,0.0%,12.7%,10.9%,30.9%,18.9%,20.0%,9.3%,10.9%,1.8%,0.0%
"Sheung Shui
上水",0.0%,0.0%,0.0%,7.3%,5.6%,12.7%,14.8%,3.6%,18.2%,14.8%,3.6%,0.0%
"Tin Shui Wai
天水圍",0.0%,0.0%,1.8%,7.1%,3.8%,15.1%,4.0%,19.2%,9.4%,1.9%,0.0%,0.0%
"Yuen Kong
元崗",0.0%,0.0%,0.0%,25.0%,12.0%,16.0%,8.0%,16.0%,8.0%,0.0%,0.0%,0.0%
"Yuen Long Town
元朗市中心",0.0%,0.0%,1.9%,18.9%,3.7%,3.7%,3.6%,11.3%,5.6%,3.7%,0.0%,0.0%
"Tuen Mun (S)
屯門南",0.0%,0.0%,0.0%,1.9%,1.9%,14.8%,17.0%,14.5%,3.6%,5.5%,1.8%,0.0%
"Tuen Mun (N)
屯門北",0.0%,0.0%,0.0%,0.0%,7.1%,13.8%,8.5%,23.7%,6.8%,5.1%,1.7%,0.0%
"Tsuen Wan Town
荃灣市中心",0.0%,1.7%,0.0%,1.7%,3.3%,0.0%,3.4%,8.3%,13.6%,3.3%,0.0%,0.0%
"Ma Wan
馬灣",0.0%,0.0%,0.0%,8.0%,16.0%,12.0%,0.0%,12.5%,8.0%,0.0%,0.0%,0.0%
"Kwai Chung
葵涌",0.0%,0.0%,0.0%,22.4%,12.5%,14.3%,9.6%,7.8%,5.6%,1.9%,0.0%,0.0%
"Lai King
荔景",0.0%,0.0%,0.0%,18.5%,3.6%,31.5%,7.4%,13.5%,5.6%,0.0%,0.0%,0.0%
"Tsing Yi
青衣",0.0%,0.0%,0.0%,0.0%,7.0%,10.5%,15.8%,10.7%,8.8%,1.8%,3.5%,0.0%
"Monthly Ovitrap Index (MOI)
每月平均誘蚊產卵器指數",0.0%,0.2%,0.2%,4.8%,8.2%,19.0%,12.8%,13.7%,8.4%,5.7%,1.6%,0.0%

Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2010,,,,,,,,,,,,
二零一零年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Chai Wan West
柴灣西",0.0%,0.0%,0.0%,0.0%,3.6%,20.0%,14.0%,20.0%,7.1%,7.4%,0.0%,0.0%
"Wan Chai North
灣仔北",0.0%,0.0%,0.0%,0.0%,0.0%,5.6%,7.4%,9.3%,3.7%,1.9%,0.0%,0.0%
"Happy Valley
跑馬地",0.0%,0.0%,0.0%,1.8%,5.5%,7.3%,16.4%,3.6%,5.5%,1.8%,1.8%,0.0%
"Central, Sheung Wan and Sai Ying Pun
中環, 上環及西營盤",0.0%,0.0%,0.0%,3.8%,25.5%,11.5%,9.4%,9.4%,7.7%,0.0%,2.0%,0.0%
"Sai Wan
西環",0.0%,0.0%,0.0%,0.0%,12.7%,5.6%,9.3%,7.7%,9.4%,1.9%,0.0%,0.0%
"North Point
北角",0.0%,0.0%,0.0%,6.0%,7.4%,11.1%,5.8%,5.9%,1.8%,0.0%,0.0%,0.0%
"Aberdeen and Ap Lei Chau
香港仔及鴨脷洲",0.0%,0.0%,1.9%,1.9%,20.4%,5.6%,3.7%,5.8%,9.1%,0.0%,0.0%,1.8%
"Pokfulam
薄扶林",0.0%,0.0%,3.6%,7.3%,12.7%,11.3%,20.0%,9.1%,3.6%,3.6%,0.0%,0.0%
"Cheung Chau
長洲",0.0%,2.8%,2.8%,0.0%,8.3%,0.0%,5.6%,8.3%,8.3%,2.9%,0.0%,0.0%
"Tung Chung
東涌",0.0%,0.0%,0.0%,8.6%,5.6%,8.3%,22.2%,16.7%,13.9%,2.8%,2.8%,0.0%
"Tsim Sha Tsui
尖沙咀",0.0%,0.0%,0.0%,0.0%,6.9%,12.3%,24.1%,1.8%,5.4%,5.3%,0.0%,0.0%
